,TABLE_NAME,COLUMN_NAME,OBJECT_NAME,LABEL,SQL_TYPE,PRESCISION,IS_PK,IS_FK,AUTO++,NULLABLE,DESCRIPTION
,PARAMETRO,,Parametro,,"Parametro",,,,
,,usuario_modifico,UsuarioModifico,,VARCHAR,100,false,false,false,false
,,razon_social,RazonSocial,,VARCHAR,150,false,false,false,true
,,nombre,Nombre,,VARCHAR,50,false,false,false,false
,,usuario_creo,UsuarioCreo,,VARCHAR,100,false,false,false,false
,MODELO_AVION,,ModeloAvion,,"Modelo Avion",,,,
,,id_modelo_avion,IdModeloAvion,"Id Modelo Avion",INT,0,true,false,true,false
,,modelo,Modelo,"Modelo",VARCHAR,50,false,false,false,false
,,descripcion,Descripcion,"Descripcion",VARCHAR,200,false,false,false,true
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,id_compania,IdCompania,"Id Compania",INT,0,false,true,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,id_tipo_cabina,IdTipoCabina,"Id Tipo Cabina",INT,0,false,true,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_fabricante,IdFabricante,"Id Fabricante",INT,0,false,true,false,false
,USUARIO,,Usuario,,"Usuario",,,,
,,apellido_paterno,ApellidoPaterno,"Apellido Paterno",VARCHAR,50,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,email_usuario,EmailUsuario,"Email Usuario",VARCHAR,100,true,false,false,false
,,apellido_materno,ApellidoMaterno,"Apellido Materno",VARCHAR,50,false,false,false,true
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,tipo,Tipo,"Tipo",VARCHAR,1,false,false,false,false
,,nombre,Nombre,"Nombre",VARCHAR,50,false,false,false,false
,,contrasenia,Contrasenia,"Contrasenia",VARCHAR,255,false,false,false,false
,CODIGO_SERVICIO,,CodigoServicio,,"Codigo Servicio",,,,
,,descripcion,Descripcion,"Descripcion",VARCHAR,64,false,false,false,false
,,id_codigo_servicio,IdCodigoServicio,"Id Codigo Servicio",INT,0,true,false,true,false
,,id_clase,IdClase,"Id Clase",INT,0,false,true,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,id_tipo_ciclo,IdTipoCiclo,"Id Tipo Ciclo",INT,0,false,true,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_tipo_codigo_servicio,IdTipoCodigoServicio,"Id Tipo Codigo Servicio",INT,0,false,true,false,false
,,cve_codigo_servicio,CveCodigoServicio,"Cve Codigo Servicio",VARCHAR,16,false,false,false,false
,MULTIMEDIO,,Multimedio,,"Multimedio",,,,
,,url,Url,"Url",VARCHAR,255,false,false,false,false
,,hash_md5,HashMd5,"Hash Md5",VARCHAR,32,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,url_local,UrlLocal,"Url Local",VARCHAR,255,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,file_name,FileName,"File Name",VARCHAR,255,false,false,false,true
,,mime_type,MimeType,"Mime Type",VARCHAR,64,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_multimedio,IdMultimedio,"Id Multimedio",INT,0,true,false,true,false
,,size,Size,"Size",INT,0,false,false,false,false
,PROVEEDOR_ESTACION,,ProveedorEstacion,,"Proveedor Estacion",,,,
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,clave_proveedor,ClaveProveedor,"Clave Proveedor",VARCHAR,10,false,true,false,false
,,razon_social,RazonSocial,"Razon Social",VARCHAR,50,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_estacion,IdEstacion,"Id Estacion",INT,0,false,true,false,false
,,clave_proveedor_estacion,ClaveProveedorEstacion,"Clave Proveedor Estacion",VARCHAR,6,false,false,false,false
,,id_proveedor_estacion,IdProveedorEstacion,"Id Proveedor Estacion",INT,0,true,false,true,false
,TABLA_ABORDAMIENTO,,TablaAbordamiento,,"TABLA_DE_ABORDAMIENTO",,,,
,,todos_modelos_avion,TodosModelosAvion,,INT,0,false,false,false,true
,,id_origen_vuelo,IdOrigenVuelo,,INT,0,false,true,false,false
,,aplica_tsu,AplicaTsu,,TINYINT,0,false,false,false,true
,,aplica_sobreabordaje,AplicaSobreabordaje,,TINYINT,0,false,false,false,true
,,id_codigo_servicio,IdCodigoServicio,,INT,0,false,true,false,false
,,id_clase,IdClase,,INT,0,false,true,false,false
,,status,Status,,TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,,VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,,TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,,VARCHAR,100,false,false,false,false
,,revision,Revision,,INT,0,false,false,false,false
,,fecha_creo,FechaCreo,,TIMESTAMP,0,false,false,false,false
,,todas_regiones,TodasRegiones,,TINYINT,0,false,false,false,true
,,id_tabla_abordamiento,IdTablaAbordamiento,,INT,0,true,false,true,false
,EMPLEADO,,Empleado,,"Empleado",,,,
,,puesto_es,PuestoEs,"Puesto Es",VARCHAR,64,false,false,false,false
,,puesto_en,PuestoEn,"Puesto En",VARCHAR,64,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
